latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source_file,region
3.52287,-76.50439,328.71,0.47,0.48,2012-03-01,1803,N,VIIRS,n,2,292.24,3.08,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.51598,-76.51575,327.69,0.56,0.43,2012-03-22,1809,N,VIIRS,n,2,290.82,4.13,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.37602,-76.45163,328.86,0.62,0.54,2012-03-30,1859,N,VIIRS,n,2,296.02,9.63,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.52303,-76.47872,308.58,0.44,0.38,2012-04-03,641,N,VIIRS,n,2,285.1,1.68,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.30084,-76.5787,333.76,0.38,0.36,2012-06-09,1827,N,VIIRS,n,2,292.68,9.26,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.31006,-76.55605,332.47,0.46,0.39,2012-06-19,1839,N,VIIRS,n,2,298.39,2.32,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47794,-76.45142,367.0,0.72,0.76,2012-06-20,538,N,VIIRS,h,2,285.0,10.16,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47089,-76.45245,296.21,0.72,0.76,2012-06-20,538,N,VIIRS,n,2,283.11,10.16,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.50503,-76.45535,326.41,0.39,0.6,2012-06-27,1749,N,VIIRS,n,2,292.76,4.01,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47823,-76.47383,312.19,0.39,0.36,2012-07-19,634,N,VIIRS,n,2,287.64,2.19,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47435,-76.47086,300.35,0.39,0.36,2012-07-19,634,N,VIIRS,n,2,286.77,2.19,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.40512,-76.46015,306.59,0.39,0.36,2012-07-19,634,N,VIIRS,n,2,288.85,0.71,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47768,-76.47034,336.8,0.39,0.36,2012-07-19,634,N,VIIRS,n,2,290.75,2.19,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.30317,-76.49873,298.13,0.43,0.38,2012-07-25,622,N,VIIRS,n,2,282.26,0.91,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.30258,-76.4949,309.27,0.43,0.38,2012-07-25,622,N,VIIRS,n,2,283.31,0.91,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.50672,-76.46095,335.41,0.57,0.43,2012-07-26,1845,N,VIIRS,n,2,290.97,5.45,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47819,-76.54921,340.73,0.48,0.48,2012-08-24,1801,N,VIIRS,n,2,299.45,11.69,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47894,-76.54467,340.74,0.48,0.48,2012-08-24,1801,N,VIIRS,n,2,292.22,11.69,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47958,-76.55039,340.86,0.48,0.48,2012-08-24,1801,N,VIIRS,n,2,295.98,9.41,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.48033,-76.54558,344.22,0.48,0.48,2012-08-24,1801,N,VIIRS,n,2,296.51,9.41,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.47589,-76.54494,333.52,0.48,0.48,2012-08-24,1801,N,VIIRS,n,2,295.56,3.53,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.37126,-76.45187,295.2,0.43,0.38,2012-08-26,621,N,VIIRS,n,2,274.41,1.17,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.43272,-76.45596,353.19,0.39,0.6,2012-08-26,1904,N,VIIRS,n,2,302.15,11.12,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.53272,-76.54477,301.64,0.57,0.69,2012-08-28,544,N,VIIRS,n,2,285.49,1.81,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.53213,-76.54063,313.32,0.57,0.69,2012-08-28,544,N,VIIRS,n,2,286.22,1.81,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.53207,-76.54299,318.2,0.57,0.69,2012-08-28,544,N,VIIRS,n,2,286.06,3.37,N,0.0,fire_archive_SV-C2_681505.csv,Cali
3.46066,-76.57091,343.56,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,310.84,19.73,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.51815,-76.5485,346.89,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,305.75,12.03,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.52198,-76.54556,367.0,0.38,0.36,2012-08-28,1827,N,VIIRS,h,2,309.03,12.03,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.52302,-76.53867,338.43,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,310.23,10.51,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.5225,-76.54211,353.72,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,312.45,10.51,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.52146,-76.549,346.44,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,304.0,12.03,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.52634,-76.53916,354.93,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,314.87,5.95,D,0.0,fire_archive_SV-C2_681505.csv,Cali
3.52582,-76.5426,341.61,0.38,0.36,2012-08-28,1827,N,VIIRS,n,2,314.03,5.95,D,0.0,fire_archive_SV-C2_681505.csv,Cali
