fecha,año,mes,dia_año,estacion_seca,grid_lat,grid_lon,temperatura_max,temperatura_min,temperatura_media,humedad_relativa,viento_max,precipitacion_dia,precipitacion_7d,precipitacion_14d,precipitacion_30d,incendio
2012-01-02,2012,1,2,1,3.515,-76.625,17.4,15.6,16.3,97.0,6.3,30.8,0.0,0.0,0.0,0
2012-01-03,2012,1,3,1,3.505,-76.47,21.3,17.8,19.1,86.0,7.4,49.8,0.0,0.0,0.0,0
2012-01-06,2012,1,6,1,3.355,-76.57,22.6,17.1,19.5,86.0,6.0,19.9,0.0,0.0,0.0,0
2012-01-10,2012,1,10,1,3.395,-76.56,23.8,19.2,20.6,83.0,5.4,3.0,0.0,0.0,0.0,0
2012-01-10,2012,1,10,1,3.33,-76.58,23.1,18.3,19.7,86.0,7.2,4.3,0.0,0.0,0.0,0
2012-01-10,2012,1,10,1,3.415,-76.45,22.1,17.7,19.1,82.0,7.5,14.2,0.0,0.0,0.0,0
2012-01-12,2012,1,12,1,3.44,-76.61,22.7,15.6,19.3,83.0,8.8,8.9,0.0,0.0,0.0,0
2012-01-14,2012,1,14,1,3.36,-76.595,22.3,17.7,19.5,87.0,7.7,10.8,0.0,0.0,0.0,0
2012-01-17,2012,1,17,1,3.345,-76.535,24.0,15.4,19.5,84.0,7.9,1.5,0.0,0.0,0.0,0
2012-01-28,2012,1,28,1,3.45,-76.54,24.0,18.5,20.6,82.0,7.6,4.8,0.0,0.0,0.0,0
2012-03-24,2012,3,84,0,3.47,-76.51,22.6,17.0,18.9,88.0,5.1,13.7,0.0,0.0,0.0,0
2012-03-26,2012,3,86,0,3.315,-76.585,23.7,18.4,20.1,87.0,10.0,1.8,0.0,0.0,0.0,0
2012-03-30,2012,3,90,0,3.375,-76.45,24.3,17.9,20.9,76.0,6.5,33.1,0.0,0.0,0.0,1
2012-04-03,2012,4,94,0,3.525,-76.48,23.7,17.5,20.2,81.0,7.8,11.4,0.0,0.0,0.0,1
2012-04-04,2012,4,95,0,3.535,-76.51,22.4,18.0,19.7,85.0,7.2,60.2,0.0,0.0,0.0,0
2012-04-08,2012,4,99,0,3.525,-76.455,19.7,16.9,18.0,91.0,6.9,23.9,0.0,0.0,0.0,0
2012-06-14,2012,6,166,1,3.49,-76.605,21.9,15.6,18.9,83.0,8.2,68.0,0.0,0.0,0.0,0
2012-06-15,2012,6,167,1,3.36,-76.57,24.9,17.0,20.6,79.0,6.6,0.2,0.0,0.0,0.0,0
2012-06-19,2012,6,171,1,3.31,-76.555,25.3,16.1,20.6,81.0,9.3,0.2,0.0,0.0,0.0,1
2012-06-20,2012,6,172,1,3.48,-76.45,23.6,14.6,19.6,83.0,7.1,78.1,0.0,0.0,0.0,1
2012-06-20,2012,6,172,1,3.47,-76.45,23.6,14.6,19.6,83.0,7.1,78.1,0.0,0.0,0.0,1
2012-06-24,2012,6,176,1,3.445,-76.65,19.5,13.3,16.3,87.0,8.0,5.5,0.0,0.0,0.0,0
2012-06-27,2012,6,179,1,3.505,-76.455,23.5,13.5,19.1,78.0,7.9,11.8,0.0,0.0,0.0,1
2012-07-05,2012,7,187,1,3.45,-76.55,23.4,17.9,20.0,82.0,6.5,5.3,0.0,0.0,0.0,0
2012-07-06,2012,7,188,1,3.545,-76.62,21.0,15.0,17.7,87.0,7.0,91.7,0.0,0.0,0.0,0
2012-07-08,2012,7,190,1,3.475,-76.625,21.1,14.3,17.2,88.0,6.9,1.8,0.0,0.0,0.0,0
2012-07-09,2012,7,191,1,3.415,-76.465,25.3,16.9,21.3,80.0,8.0,20.9,0.0,0.0,0.0,0
2012-07-12,2012,7,194,1,3.54,-76.455,22.1,17.1,19.3,85.0,6.3,22.7,0.0,0.0,0.0,0
2012-07-13,2012,7,195,1,3.355,-76.465,24.3,19.0,21.5,78.0,6.6,0.2,0.0,0.0,0.0,0
2012-08-28,2012,8,241,1,3.52,-76.545,23.8,17.0,19.8,86.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.46,-76.57000000000001,24.8,16.2,20.1,81.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.52,-76.54,24.5,15.8,19.7,81.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.525,-76.545,23.7,16.9,19.7,86.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.535,-76.545,24.7,16.0,19.9,81.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.5300000000000002,-76.54,25.4,15.9,20.4,78.0,11.5,0.0,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.5300000000000002,-76.545,24.8,16.2,20.1,81.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-28,2012,8,241,1,3.525,-76.54,24.7,16.0,19.9,81.0,8.2,48.1,0.0,0.0,0.0,1
2012-08-29,2012,8,242,1,3.545,-76.595,19.1,14.2,16.2,91.0,5.4,3.7,0.0,0.0,0.0,0
2012-08-29,2012,8,242,1,3.395,-76.605,23.1,16.8,19.7,86.0,6.6,10.4,0.0,0.0,0.0,0
2012-08-31,2012,8,244,1,3.355,-76.46,25.5,17.6,21.3,77.0,7.4,0.1,0.0,0.0,0.0,0
2012-09-01,2012,9,245,0,3.43,-76.605,22.5,13.9,18.2,82.0,7.7,58.5,0.0,0.0,0.0,1
2012-09-01,2012,9,245,0,3.4250000000000003,-76.605,22.3,13.7,18.0,82.0,7.6,7.1,0.0,0.0,0.0,1
2012-09-01,2012,9,245,0,3.39,-76.605,24.1,15.9,19.7,83.0,8.0,16.2,0.0,0.0,0.0,0
2012-09-01,2012,9,245,0,3.41,-76.515,26.0,16.1,21.3,77.0,8.4,10.8,0.0,0.0,0.0,0
2012-09-04,2012,9,248,0,3.5500000000000003,-76.53,23.0,15.5,18.8,86.0,8.4,3.3,0.0,0.0,0.0,1
2012-09-06,2012,9,250,0,3.53,-76.62,21.4,14.2,17.8,85.0,4.4,0.4,0.0,0.0,0.0,0
2012-09-28,2012,9,272,0,3.52,-76.56,20.4,17.2,18.8,86.0,7.6,7.2,0.0,0.0,0.0,0
2012-10-02,2012,10,276,0,3.45,-76.605,22.1,15.1,18.4,88.0,9.6,12.5,0.0,0.0,0.0,0
2012-10-03,2012,10,277,0,3.305,-76.49,26.7,18.4,21.9,77.0,8.0,5.9,0.0,0.0,0.0,1
2012-10-03,2012,10,277,0,3.54,-76.495,24.1,16.7,19.7,83.0,9.8,39.6,0.0,0.0,0.0,0
2012-10-03,2012,10,277,0,3.305,-76.555,26.5,18.2,21.7,77.0,7.2,1.2,0.0,0.0,0.0,0
2012-10-04,2012,10,278,0,3.445,-76.5,24.1,17.5,20.4,85.0,7.6,47.8,0.0,0.0,0.0,0
2012-10-07,2012,10,281,0,3.35,-76.585,23.2,17.8,20.3,85.0,6.6,11.3,0.0,0.0,0.0,0
2012-10-07,2012,10,281,0,3.53,-76.645,22.8,17.4,20.0,85.0,6.0,25.8,0.0,0.0,0.0,0
2012-10-08,2012,10,282,0,3.425,-76.485,25.0,18.3,21.7,81.0,7.0,43.4,0.0,0.0,0.0,0
2012-10-09,2012,10,283,0,3.5,-76.605,22.0,14.9,18.4,84.0,8.7,65.9,0.0,0.0,0.0,0
2012-10-09,2012,10,283,0,3.48,-76.6,22.4,16.0,19.1,86.0,8.0,9.5,0.0,0.0,0.0,0
2012-12-31,2012,12,366,1,3.5,-76.48,23.2,16.6,19.9,79.0,8.2,5.1,0.0,0.0,0.0,0
2013-01-03,2013,1,3,1,3.4,-76.5,25.1,16.3,21.3,83.0,7.8,9.9,0.0,0.0,0.0,0
